0, 1
1, 1
0, 1
1, 1
0, 1
1, 1
0, 1
1, 1
0, 1
1, 1
0, 1
1, 1
0, 1
1, 1
0, 1
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 4
1, 1
0, 2530
1, 1
0, 3076
1, 1
0, 4040
1, 1
0, 4052
1, 1
0, 4052
1, 1
0, 4052
1, 1
0, 4052
1, 1
0, 4052
1, 1
0, 4052
1, 1
0, 4052
1, 1
0, 4052
1, 1
0, 4052
1, 1
0, 5152
1, 1
0, 5154
1, 1
0, 5154
1, 1
0, 5152
1, 1
0, 5154
1, 1
0, 5154
1, 1
0, 5152
1, 1
0, 5154
1, 1
0, 5154
1, 1
0, 5152
1, 1
0, 5154
1, 1
0, 5154
1, 1
0, 5152
1, 1
0, 5154
1, 1
0, 5154
1, 1
0, 5154
1, 1
0, 4068
1, 1
0, 18154
1, 1
0, 18164
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 4
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 18170
1, 1
0, 17502
1, 1
0, 17502
1, 1
0, 17502
1, 1
0, 16722
1, 1
0, 17502
1, 1
0, 17502
1, 1
0, 16722
1, 1
0, 17502
1, 1
0, 16722
1, 1
0, 17502
1, 1
0, 17502
1, 1
0, 17442
1, 1
0, 17502
1, 1
0, 16722
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
0, 18050
1, 1
